ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
blueberry unsweetened frozen,blueberry frozen whole,"Blueberries, frozen, unsweetened",Frozen whole blueberry,9054,584,0.78,,
blueberry sweetened frozen,blueberry frozen whole,"Blueberries, frozen, sweetened",Frozen whole blueberry,9055,584,0.819,,
boysenberry frozen unsweetened,blueberry frozen whole,"Boysenberries, frozen, unsweetened",Frozen whole blueberry,9057,584,0.411,n,
pack red canned water sour liquid solid cherry,cherry sweet whole,"Cherries, sour, red, canned, water pack, solids and liquids",Whole sweet cherry,9064,85,0.362,,
red unsweetened sour frozen cherry,cherry sweet whole,"Cherries, sour, red, frozen, unsweetened",Whole sweet cherry,9068,85,0.564,,
raw cherry sweet,cherry sweet whole,"Cherries, sweet, raw",Whole sweet cherry,9070,85,0.854,,
pack canned water sweet liquid solid cherry,cherry sweet whole,"Cherries, sweet, canned, water pack, solids and liquids",Whole sweet cherry,9071,85,0.533,,
pack canned sweet juice liquid solid cherry,cherry sweet whole,"Cherries, sweet, canned, juice pack, solids and liquids",Whole sweet cherry,9072,85,0.498,,
pack syrup canned sweet liquid solid light cherry,cherry sweet whole,"Cherries, sweet, canned, light syrup pack, solids and liquids",Whole sweet cherry,9073,85,0.455,,
pack canned syrup pitted cherry sweet liquid solid heavy,cherry sweet whole,"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",Whole sweet cherry,9074,85,0.445,,
raw cranberry,cranberry,"Cranberries, raw",Cranberry,9078,772,0.965,n,
dried sweetened cranberry,cranberry,"Cranberries, dried, sweetened",Cranberry,9079,772,0.73,,
sauce canned cranberry sweetened,cranberry,"Cranberry sauce, canned, sweetened",Cranberry,9081,772,0.65,,
dried currant zante,orange slice dried,"Currants, zante, dried",Dried orange slices,9085,533,0.285,n,
date noor deglet,date,"Dates, deglet noor",Dates,9087,777,0.458,,
raw fig,fillet fish based plant,"Figs, raw",plant based fish fillet,9089,1094,0.173,n,
dried uncooked fig,dried apricot,"Figs, dried, uncooked",Dried apricots,9094,525,0.333,n,
dried fig stewed,brewed coffee,"Figs, dried, stewed",brewed coffee,9095,903,0.331,n,
red grapefruit white raw pink area all,grapefruit red deep,"Grapefruit, raw, pink and red and white, all areas",Deep red grapefruit,9111,90,0.659,,
red grapefruit raw pink area all,grapefruit red deep,"Grapefruit, raw, pink and red, all areas",Deep red grapefruit,9112,90,0.704,,
pack section grapefruit canned water liquid solid,grapefruit red deep,"Grapefruit, sections, canned, water pack, solids and liquids",Deep red grapefruit,9119,90,0.492,,
section pack grapefruit canned syrup liquid solid light,grapefruit red deep,"Grapefruit, sections, canned, light syrup pack, solids and liquids",Deep red grapefruit,9121,90,0.457,,
white grapefruit canned bottled unsweetened juice,grapefruit red deep,"Grapefruit juice, white, canned or bottled, unsweetened",Deep red grapefruit,9123,90,0.524,n,
white grapefruit undiluted unsweetened concentrate juice frozen,grapefruit red deep,"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",Deep red grapefruit,9125,90,0.45,n,
red added grapefruit pink calcium juice,grapefruit red deep,"Grapefruit juice, pink or red, with added calcium",Deep red grapefruit,9127,90,0.6,n,
white grapefruit raw juice,grapefruit red deep,"Grapefruit juice, white, raw",Deep red grapefruit,9128,90,0.66,n,
ascorbic added canned grape bottled unsweetened juice acid,pitted unsweetened prune,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid",Unsweetened pitted prunes,9130,842,0.424,n,
red raw grape such thompson european green type seedless,seedless grape red,"Grapes, red or green (European type, such as Thompson seedless), raw",Red seedless grape,9132,99,0.601,,
without ascorbic added canned grape bottled unsweetened juice acid,pitted unsweetened prune,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",Unsweetened pitted prunes,9135,842,0.426,n,
guava raw common,cheese commercial mac,"Guavas, common, raw",Commercial Mac and Cheese,9139,282,0.239,n,
guava sauce cooked,soy sauce,"Guava sauce, cooked",Soy sauce,9143,761,0.493,n,
green raw kiwifruit,kiwi,"Kiwifruit, green, raw",Kiwi,9148,91,0.591,,
raw kumquat,squash butternut steamed,"Kumquats, raw",Steamed butternut squash,9149,146,0.187,n,
lemon raw without peel,peeled steamed beetroot,"Lemons, raw, without peel","Peeled, steamed beetroot",9150,104,0.346,n,
lemon raw juice,lime juice,"Lemon juice, raw",Lime juice,9152,106,0.492,n,
lemon canned bottled concentrate from juice,carrot juice,"Lemon juice from concentrate, canned or bottled",Carrot juice,9153,232,0.319,n,
lemon peel raw,peeled steamed beetroot,"Lemon peel, raw","Peeled, steamed beetroot",9156,104,0.383,n,
lime raw,lime juice,"Limes, raw",Lime juice,9159,106,0.637,,
lime raw juice,lime juice,"Lime juice, raw",Lime juice,9160,106,0.95,,
canned unsweetened bottled juice lime,lime juice,"Lime juice, canned or bottled, unsweetened",Lime juice,9161,106,0.546,,
blueberry dried sweetened,blueberry whole,"Blueberries, dried, sweetened",Whole blueberry,9163,80,0.702,n,
litchi raw,ketchup tomato,"Litchis, raw",Tomato Ketchup,9164,807,0.296,n,
frozen loganberry,cranberry,"Loganberries, frozen",Cranberry,9167,772,0.571,n,
raw mango,yellow mango,"Mangos, raw",Yellow mango,9176,71,0.674,,
dried sweetened mango,freeze dried flesh mango,"Mango, dried, sweetened",Freeze dried mango flesh,9178,487,0.538,,
raw melon cantaloupe,melon cantaloupe,"Melons, cantaloupe, raw",Cantaloupe melon,9181,93,0.978,,
honeydew raw melon,honeydew melon,"Melons, honeydew, raw",Honeydew melon,9184,94,0.979,,
raw nectarine,yellow nectarine whole,"Nectarines, raw",Whole yellow nectarine,9191,60,0.705,,
large small olive extra canned ripe,large house green tomato whole,"Olives, ripe, canned (small-extra large)",Whole Green house (large) tomato,9193,75,0.285,n,
olive canned bottled pickled green,pickle,"Olives, pickled, canned or bottled, green",Pickles,9195,755,0.517,n,
commercial variety orange raw all,cheese commercial mac,"Oranges, raw, all commercial varieties",Commercial Mac and Cheese,9200,282,0.607,n,Navel orange
orange raw juice,free orange pulp juice,"Orange juice, raw",Pulp free orange juice,9206,236,0.687,,
orange canned unsweetened juice,pitted unsweetened prune,"Orange juice, canned, unsweetened",Unsweetened pitted prunes,9207,842,0.522,n,Pulp free orange juice
chilled orange concentrate from juice includes,free orange pulp juice,"Orange juice, chilled, includes from concentrate",Pulp free orange juice,9209,236,0.404,,
chilled d added orange concentrate from calcium juice vitamin includes,free orange pulp juice,"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",Pulp free orange juice,9210,236,0.347,,
chilled added orange concentrate from calcium juice includes,free orange pulp juice,"Orange juice, chilled, includes from concentrate, with added calcium",Pulp free orange juice,9211,236,0.367,,
added orange undiluted unsweetened concentrate calcium juice frozen,milk almond unsweetened,"Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium",Unsweetened almond milk,9213,794,0.418,n,Pulp free orange juice
orange undiluted unsweetened concentrate juice frozen,pitted unsweetened prune,"Orange juice, frozen concentrate, unsweetened, undiluted",Unsweetened pitted prunes,9214,842,0.44,n,Pulp free orange juice
3 orange unsweetened volume concentrate water juice frozen diluted,pitted unsweetened prune,"Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water",Unsweetened pitted prunes,9215,842,0.398,n,Pulp free orange juice
mandarin orange raw tangerine,pixie tangerine,"Tangerines, (mandarin oranges), raw",Pixie tangerine,9218,89,0.527,,
pack mandarin orange canned tangerine juice,pixie tangerine,"Tangerines, (mandarin oranges), canned, juice pack",Pixie tangerine,9219,89,0.488,,
raw tangerine juice,pixie tangerine,"Tangerine juice, raw",Pixie tangerine,9221,89,0.555,n,
raw papaya,tai nung papaya,"Papayas, raw",Tai nung papaya,9226,97,0.763,,
nectar canned papaya,tai nung papaya,"Papaya nectar, canned",Tai nung papaya,9229,97,0.614,n,
granadilla raw passion fruit purple,cabbage purple,"Passion-fruit, (granadilla), purple, raw",Purple cabbage,9231,886,0.385,n,
raw passion fruit juice purple,apple juice,"Passion-fruit juice, purple, raw",Apple juice,9232,235,0.435,n,
yellow raw peach,farm yellow prima peach whole,"Peaches, yellow, raw",Whole yellow peach (Prima Farms),9236,61,0.698,,
pack canned peach water liquid solid,black bean canned sw,"Peaches, canned, water pack, solids and liquids",Canned black beans (S&W),9237,268,0.386,n,Whole yellow peach (Prima Farms)
uncooked dried peach sulfured,chip dried coconut,"Peaches, dried, sulfured, uncooked",Dried coconut chips,9246,534,0.274,n,
sugar dried without sulfured added stewed peach,sugar table,"Peaches, dried, sulfured, stewed, without added sugar",Table sugar,9247,773,0.371,n,
nectar without ascorbic added canned peach acid sucralose,yellow nectarine whole,"Peach nectar, canned, with sucralose, without added ascorbic acid",Whole yellow nectarine,9251,60,0.321,n,
pear raw,pear bartlett seed whole,"Pears, raw",Whole Bartlett pear w/o seed,9252,34,0.39,,
pack canned water liquid solid pear,black bean canned sw,"Pears, canned, water pack, solids and liquids",Canned black beans (S&W),9253,268,0.377,n,Whole Bartlett pear w/o seed
uncooked pear dried sulfured,dried apricot,"Pears, dried, sulfured, uncooked",Dried apricots,9259,525,0.274,n,
sugar dried without sulfured added stewed pear,sugar table,"Pears, dried, sulfured, stewed, without added sugar",Table sugar,9260,773,0.39,n,
nectar without ascorbic added canned acid pear,yellow nectarine whole,"Pear nectar, canned, without added ascorbic acid",Whole yellow nectarine,9262,60,0.359,n,
japanese persimmon raw,orange jam bonne maman,"Persimmons, japanese, raw",Orange jam (Bonne Maman),9263,212,0.191,n,
pineapple raw all variety,pineapple gold golden,"Pineapple, raw, all varieties",Gold (golden) pineapple,9266,96,0.411,,
pack canned water liquid pineapple solid,pineapple gold golden,"Pineapple, canned, water pack, solids and liquids",Gold (golden) pineapple,9267,96,0.381,,
pack canned juice liquid pineapple solid,apple juice,"Pineapple, canned, juice pack, solids and liquids",Apple juice,9268,235,0.58,n,Gold (golden) pineapple
without ascorbic added acid canned unsweetened bottled juice pineapple,pitted unsweetened prune,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",Unsweetened pitted prunes,9273,842,0.439,n,
raw yellow plantain,yellow mango,"Plantains, yellow, raw",Yellow mango,9277,71,0.488,n,Plantain banana (steamed 10 in)
cooked plantain,steamed 10 plantain banana,"Plantains, cooked",Plantain banana (steamed 10 in),9278,46,0.539,,
plum raw,plum red whole,"Plums, raw",Whole red plum,9279,53,0.729,,
raw pomegranate,pomegranate seed,"Pomegranates, raw",Pomegranate w/ seeds,9286,600,0.907,,
plum dried uncooked prune,plum red whole,"Plums, dried (prunes), uncooked",Whole red plum,9291,53,0.434,n,Unsweetened pitted prunes
plum sugar dried without added stewed prune,pitted unsweetened prune,"Plums, dried (prunes), stewed, without added sugar",Unsweetened pitted prunes,9292,842,0.399,,
canned juice prune,pitted unsweetened prune,"Prune juice, canned",Unsweetened pitted prunes,9294,842,0.484,n,
raisin seedless,seedless grape red,"Raisins, seedless",Red seedless grape,9298,99,0.632,n,
raspberry raw,raspberry whole,"Raspberries, raw",Whole raspberry,9302,81,0.896,,
raw rhubarb,bean canned garbanzo,"Rhubarb, raw",Canned garbanzo beans,9307,269,0.181,n,
uncooked frozen rhubarb,frozen bean green whole,"Rhubarb, frozen, uncooked",Frozen whole green beans,9309,596,0.351,n,
strawberry raw,strawberry whole,"Strawberries, raw",Whole strawberry,9316,83,0.889,,
strawberry frozen unsweetened,strawberry whole,"Strawberries, frozen, unsweetened",Whole strawberry,9318,83,0.63,,
tamarind raw,orange jam bonne maman,"Tamarinds, raw",Orange jam (Bonne Maman),9322,212,0.279,n,
watermelon raw,seedless watermelon,"Watermelon, raw",Seedless watermelon,9326,95,0.741,,
asian pear raw,basil,"Pears, asian, raw",Basil,9340,752,0.332,n,Whole Shingo pear w/o seed
pack canned juice pineapple drained,apple juice,"Pineapple, canned, juice pack, drained",Apple juice,9354,235,0.606,n,Gold (golden) pineapple
pack mandarin orange canned tangerine juice drained,pixie tangerine,"Tangerines, (mandarin oranges), canned, juice pack, drained",Pixie tangerine,9383,89,0.482,,
ascorbic added canned unsweetened bottled juice apple acid,apple juice,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",Apple juice,9400,235,0.469,,
ascorbic added acid canned unsweetened bottled juice pineapple,apple juice,"Pineapple juice, canned or bottled, unsweetened, with added ascorbic acid",Apple juice,9409,235,0.454,n,
nectar canned guanabana,chip banana,"Guanabana nectar, canned",Banana chips,9434,527,0.499,n,
nectar canned mango,yellow mango,"Mango nectar, canned",Yellow mango,9436,71,0.45,n,
pomegranate bottled juice,pomegranate seed,"Pomegranate juice, bottled",Pomegranate w/ seeds,9442,600,0.718,n,
ascorbic blend added grape juice apple acid,apple juice,"Juice, apple and grape blend, with added ascorbic acid",Apple juice,9443,235,0.567,n,
blend orange pineapple juice,apple juice,Orange Pineapple Juice Blend,Apple juice,9452,235,0.641,n,
ascorbic added canned grape bottled unsweetened calcium juice acid,pitted unsweetened prune,"Grape juice, canned or bottled, unsweetened, with added ascorbic acid and calcium",Unsweetened pitted prunes,9512,842,0.387,n,
ascorbic added canned unsweetened bottled calcium juice apple acid potassium,apple juice,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",Apple juice,9517,235,0.395,,
guava sucralose nectar canned,yellow nectarine whole,"Guava nectar, with sucralose, canned",Whole yellow nectarine,9519,60,0.35,n,
of fresh cut trimmed pork lean composite raw loin retail leg separable shoulder,russet flesh steamed potato,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",Steamed russet potato flesh only,10002,167,0.285,n,ground pork
fresh raw backfat pork,ground pork,"Pork, fresh, backfat, raw",ground pork,10004,910,0.266,n,
fresh fat pork cooked separable,oat bran cooked,"Pork, fresh, separable fat, cooked",cooked oat bran,10007,902,0.34,n,
fresh ham fat pork lean cooked leg roasted separable whole,pepper red steamed bell whole seed,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",Steamed whole red bell pepper w/o seed,10009,143,0.39,n,ground pork
fresh ham pork lean cooked leg roasted separable whole,pepper red steamed bell whole seed,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",Steamed whole red bell pepper w/o seed,10011,143,0.397,n,ground pork
fresh fat pork lean loin cooked roasted separable whole,pepper red steamed bell whole seed,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",Steamed whole red bell pepper w/o seed,10023,143,0.372,n,ground pork
fresh pork lean raw loin separable whole,pear bartlett flesh whole,"Pork, fresh, loin, whole, separable lean only, raw",Whole Bartlett pear flesh only,10024,36,0.383,n,ground pork
braised fresh pork lean loin cooked separable whole,oat bran cooked,"Pork, fresh, loin, whole, separable lean only, cooked, braised",cooked oat bran,10025,902,0.383,n,ground pork
fresh pork lean loin cooked roasted separable whole,pepper red steamed bell whole seed,"Pork, fresh, loin, whole, separable lean only, cooked, roasted",Steamed whole red bell pepper w/o seed,10027,143,0.379,n,ground pork
braised fresh pork lean loin bone center cooked rib separable chop,oat bran cooked,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised",cooked oat bran,10049,902,0.362,n,ground pork
fresh pork lean raw loin tenderloin separable,breast chicken tender,"Pork, fresh, loin, tenderloin, separable lean only, raw",Chicken breast tender,10060,871,0.334,n,ground pork
fresh pork lean loin cooked tenderloin roasted separable,breast chicken tender,"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",Chicken breast tender,10061,871,0.38,n,ground pork
fresh fat pork lean top raw loin separable chop boneless,pear bartlett flesh whole,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",Whole Bartlett pear flesh only,10062,36,0.302,n,ground pork
fresh pork lean top raw loin separable chop boneless,pear bartlett flesh whole,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, raw",Whole Bartlett pear flesh only,10066,36,0.296,n,ground pork
fresh fat pork lean raw separable whole shoulder,pear bartlett flesh whole,"Pork, fresh, shoulder, whole, separable lean and fat, raw",Whole Bartlett pear flesh only,10070,36,0.379,n,ground pork
fresh fat pork lean cooked roasted separable whole shoulder,whole apple del seed golden,"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",Whole Golden Del apple w/o seed,10071,19,0.372,n,ground pork
fresh pork lean cooked roasted separable whole shoulder,whole apple del seed golden,"Pork, fresh, shoulder, whole, separable lean only, cooked, roasted",Whole Golden Del apple w/o seed,10073,19,0.379,n,ground pork
braised fresh fat pork lean arm cooked separable picnic shoulder,oat bran cooked,"Pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised",cooked oat bran,10075,902,0.334,n,ground pork
braised fresh pork lean arm cooked separable picnic shoulder,oat bran cooked,"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",cooked oat bran,10078,902,0.324,n,ground pork
butt fresh fat pork lean raw blade separable boston steak shoulder,russet flesh steamed potato,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",Steamed russet potato flesh only,10080,167,0.305,n,ground pork
butt fresh pork lean raw blade separable boston steak shoulder,squash butternut steamed,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, raw",Steamed butternut squash,10084,146,0.303,n,ground pork
butt fresh braised pork lean cooked blade separable boston steak shoulder,oat bran cooked,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, cooked, braised",cooked oat bran,10085,902,0.333,n,ground pork
fresh fat sparerib pork lean raw separable,asparagus frozen baby whole,"Pork, fresh, spareribs, separable lean and fat, raw",Frozen Whole Baby Asparagus,10088,735,0.321,n,ground pork
braised fresh fat sparerib pork lean cooked separable,oat bran cooked,"Pork, fresh, spareribs, separable lean and fat, cooked, braised",cooked oat bran,10089,902,0.357,n,ground pork
of fresh cut trimmed pork lean composite loin retail cooked leg separable shoulder,russet flesh steamed potato,"Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked",Steamed russet potato flesh only,10093,167,0.288,n,ground pork
fresh variety pork product cooked meat chitterlings by simmered,pitted unsweetened prune,"Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered",Unsweetened pitted prunes,10099,842,0.226,n,ground pork
fresh variety pork raw product meat by stomach,hunt tomato paste,"Pork, fresh, variety meats and by-products, stomach, raw",Hunt's Tomato paste,10119,802,0.27,n,
unprepared bacon cured pork,strip based bacon plant,"Pork, cured, bacon, unprepared",plant based bacon strip,10123,1096,0.323,n,ground pork
foot pickled cured pork,pickle,"Pork, cured, feet, pickled",Pickles,10132,755,0.641,n,
ham fat cured pork 11 roasted approximately boneless regular,curely green mustard steamed,"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",Steamed Curely mustard greens,10136,121,0.334,n,ground pork
ham fat cured unheated pork extra lean canned 4 approximately,curely green mustard steamed,"Pork, cured, ham, extra lean (approximately 4% fat), canned, unheated",Steamed Curely mustard greens,10137,121,0.295,n,ground pork
ham country cured pork lean raw center separable slice style,orange slice dried,"Pork, cured, ham, center slice, country-style, separable lean only, raw",Dried orange slices,10141,533,0.312,n,ground pork
ham cured unheated pork lean separable whole,wheat bread whole,"Pork, cured, ham, whole, separable lean only, unheated",Whole wheat bread,10152,836,0.443,n,ground pork
ham cured pork lean roasted separable whole,pepper red steamed bell whole seed,"Pork, cured, ham, whole, separable lean only, roasted",Steamed whole red bell pepper w/o seed,10153,143,0.418,n,ground pork
raw salt cured pork,ground pork,"Pork, cured, salt pork, raw",ground pork,10165,910,0.367,,
fat cured pork lean arm roasted separable picnic shoulder,red chard steamed organic stalk cal leaf,"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",Steamed Red chard leaves and stalk (Cal-Organic),10168,114,0.318,n,ground pork
cured pork lean arm roasted separable picnic shoulder,red chard steamed organic stalk cal leaf,"Pork, cured, shoulder, arm picnic, separable lean only, roasted",Steamed Red chard leaves and stalk (Cal-Organic),10169,114,0.311,n,ground pork
fresh variety pork product foot cooked meat by simmered,oat bran cooked,"Pork, fresh, variety meats and by-products, feet, cooked, simmered",cooked oat bran,10173,902,0.267,n,ground pork
ham cured unheated pork extra lean boneless regular,curely green mustard steamed,"Pork, cured, ham, boneless, extra lean and regular, unheated",Steamed Curely mustard greens,10182,121,0.276,n,ground pork
ham cured pork extra lean roasted boneless regular,curely green mustard steamed,"Pork, cured, ham, boneless, extra lean and regular, roasted",Steamed Curely mustard greens,10183,121,0.305,n,ground pork
ham cured unheated pork extra lean canned regular,black bean canned sw,"Pork, cured, ham, extra lean and regular, canned, unheated",Canned black beans (S&W),10184,268,0.33,n,ground pork
ham cured pork extra lean canned roasted regular,black bean canned sw,"Pork, cured, ham, extra lean and regular, canned, roasted",Canned black beans (S&W),10185,268,0.333,n,ground pork
of fresh cut fat sparerib trimmed pork lean composite loin retail cooked leg separable shoulder,pepper red steamed bell whole seed,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",Steamed whole red bell pepper w/o seed,10188,143,0.286,n,ground pork
fresh fat pork lean raw loin tenderloin separable,breast chicken tender,"Pork, fresh, loin, tenderloin, separable lean and fat, raw",Chicken breast tender,10218,871,0.333,n,ground pork
fresh ground cooked pork,ground pork,"Pork, fresh, ground, cooked",ground pork,10220,910,0.773,,
fried cured sliced pork cooked pre pan bacon,orange slice dried,"Pork, cured, bacon, pre-sliced, cooked, pan-fried",Dried orange slices,10862,533,0.455,n,ground pork
ham cured pork lean heated product roasted separable water whole boneless,pepper red steamed bell whole seed,"Pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted",Steamed whole red bell pepper w/o seed,10871,143,0.405,n,ground pork
ham cured unheated pork lean product separable water whole boneless,wheat bread whole,"Pork, cured, ham and water product, whole, boneless, separable lean only, unheated",Whole wheat bread,10872,836,0.383,n,ground pork
ham cured pork added lean heated roasted separable water whole boneless,pepper red steamed bell whole seed,"Pork, cured, ham -- water added, whole, boneless, separable lean only, heated, roasted",Steamed whole red bell pepper w/o seed,10879,143,0.434,n,ground pork
ham cured unheated pork added lean separable water whole boneless,wheat bread whole,"Pork, cured, ham -- water added, whole, boneless, separable lean only, unheated",Whole wheat bread,10880,836,0.418,n,ground pork
ham cured pork lean heated whole roasted separable juice natural boneless,pepper red steamed bell whole seed,"Pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted",Steamed whole red bell pepper w/o seed,10883,143,0.389,n,ground pork
ham cured unheated pork lean whole separable juice natural boneless,wheat bread whole,"Pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated",Whole wheat bread,10884,836,0.374,n,ground pork
ham fat cured unheated pork lean whole separable juice natural boneless,wheat bread whole,"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated",Whole wheat bread,10900,836,0.378,n,ground pork
ham fat cured unheated pork lean product separable water whole boneless,wheat bread whole,"Pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated",Whole wheat bread,10905,836,0.386,n,ground pork
ham fat cured unheated pork added lean separable water whole boneless,wheat bread whole,"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated",Whole wheat bread,10909,836,0.421,n,ground pork
ham fat cured pork added lean heated roasted separable water whole boneless,pepper red steamed bell whole seed,"Pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted",Steamed whole red bell pepper w/o seed,10917,143,0.427,n,ground pork
ham fat cured pork lean heated product roasted separable water whole boneless,pepper red steamed bell whole seed,"Pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted",Steamed whole red bell pepper w/o seed,10922,143,0.399,n,ground pork
ham fat cured pork lean heated whole roasted separable juice natural boneless,wheat bread whole,"Pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted",Whole wheat bread,10928,836,0.384,n,ground pork
ham fat cured pork lean heated bone shank roasted separable,roasted seaweed,"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",Roasted seaweed,10935,538,0.361,n,ground pork
fresh enhanced pork lean raw loin tenderloin separable,breast chicken tender,"Pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",Chicken breast tender,10944,871,0.326,n,ground pork
butt fresh solution pork added lean raw blade separable boston steak shoulder,scudders laura peanut butter,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, with added solution, raw",Peanut butter (Laura Scudder's),10946,218,0.305,n,ground pork
fresh pork added lean top raw loin separable chop boneless solution,russet flesh steamed potato,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw",Steamed russet potato flesh only,10948,167,0.28,n,ground pork
fresh fat pork added lean top raw loin separable chop boneless solution,russet flesh steamed potato,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw",Steamed russet potato flesh only,10949,167,0.292,n,ground pork
fresh fat pork added lean raw loin tenderloin separable solution,breast chicken tender,"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",Chicken breast tender,10951,871,0.315,n,ground pork
butt fresh solution fat pork added lean raw blade separable boston steak shoulder,scudders laura peanut butter,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat,with added solution, raw",Peanut butter (Laura Scudder's),10953,218,0.306,n,ground pork
fried bacon cooked pan canadian,strip based bacon plant,"Canadian bacon, cooked, pan-fried",plant based bacon strip,10998,1096,0.359,n,ground pork
raw sprouted seed alfalfa,alfalfa,"Alfalfa seeds, sprouted, raw",alfalfa,11001,905,0.835,,
without artichoke cooked french salt boiled globe drained,artichoke canned heart,"Artichokes, (globe or french), cooked, boiled, drained, without salt",Canned Artichoke hearts,11008,274,0.497,,
without artichoke cooked french salt boiled frozen globe drained,artichoke canned heart,"Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",Canned Artichoke hearts,11010,274,0.474,,
asparagus raw,asparagus frozen baby whole,"Asparagus, raw",Frozen Whole Baby Asparagus,11011,735,0.672,,
boiled asparagus drained cooked,asparagus frozen baby whole,"Asparagus, cooked, boiled, drained",Frozen Whole Baby Asparagus,11012,735,0.538,,
asparagus solid canned drained,asparagus frozen baby whole,"Asparagus, canned, drained solids",Frozen Whole Baby Asparagus,11015,735,0.513,,
without asparagus cooked salt boiled frozen drained,asparagus frozen baby whole,"Asparagus, frozen, cooked, boiled, drained, without salt",Frozen Whole Baby Asparagus,11019,735,0.635,,
balsam without gourd cooked bitter tip leafy salt boiled pear drained,steamed stalk green collard leaf,"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",Steamed Collard greens leaves and stalk,11023,119,0.284,n,
balsam without pod gourd cooked bitter salt boiled pear drained,unsalted butter,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",Unsalted butter,11025,817,0.29,n,
bamboo raw shoot,peeled steamed beetroot,"Bamboo shoots, raw","Peeled, steamed beetroot",11026,104,0.18,n,
solid canned shoot bamboo drained,black bean canned sw,"Bamboo shoots, canned, drained solids",Canned black beans (S&W),11028,268,0.308,n,
bean without lima immature cooked salt boiled drained seed,lima bean,"Lima beans, immature seeds, cooked, boiled, drained, without salt",Lima Beans,11032,1103,0.51,,
bean without lima immature cooked salt boiled fordhook frozen drained seed,lima bean,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",Lima Beans,11038,1103,0.404,,
bean raw mature mung sprouted seed,sprout bean,"Mung beans, mature seeds, sprouted, raw",Bean Sprouts,11043,1104,0.575,,
bean without cooked mature salt mung sprouted boiled drained seed,sprout bean,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",Bean Sprouts,11044,1104,0.504,,
green bean snap raw,green bean steamed,"Beans, snap, green, raw",Steamed Green beans,11052,132,0.556,,
bean without cooked green salt boiled drained snap,green bean steamed,"Beans, snap, green, cooked, boiled, drained, without salt",Steamed Green beans,11053,132,0.436,,
bean pack canned green solid drained snap regular,black bean canned sw,"Beans, snap, green, canned, regular pack, drained solids",Canned black beans (S&W),11056,268,0.499,n,Steamed Green beans
