ingred_clean,dfg_clean,ingred_desc,simple_name,ingred_code,sample_id,Similarity,match,replace
milk skim plain yogurt,yogurt,"Yogurt, plain, skim milk",Yogurt,1118,788,0.625,n,
egg fresh raw whole,egg brown whole,"Egg, whole, raw, fresh",Whole brown egg,1123,882,0.584,,
egg white raw fresh,egg brown white,"Egg, white, raw, fresh",Brown egg white,1124,879,0.626,,
egg fresh yolk raw,egg brown yolk,"Egg, yolk, raw, fresh",Brown egg yolk,1125,878,0.671,,
egg fried cooked whole,egg brown whole,"Egg, whole, cooked, fried",Whole brown egg,1128,882,0.537,,
egg cooked boiled whole hard,egg brown whole,"Egg, whole, cooked, hard-boiled",Whole brown egg,1129,882,0.492,,
egg poached cooked whole,egg brown whole,"Egg, whole, cooked, poached",Whole brown egg,1131,882,0.451,,
egg scrambled cooked whole,egg brown whole,"Egg, whole, cooked, scrambled",Whole brown egg,1132,882,0.432,,
egg dried whole,egg brown whole,"Egg, whole, dried",Whole brown egg,1133,882,0.605,n,
egg fresh raw whole quail,egg brown whole,"Egg, quail, whole, fresh, raw",Whole brown egg,1140,882,0.458,n,
without butter salt,unsalted butter,"Butter, without salt",Unsalted butter,1145,817,0.634,,
nonfat milk without d fat skim added free fluid a vitamin,milk whole,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",Whole milk,1151,239,0.298,n,
nonfat milk d added dry a vitamin regular,soy milk,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",Soy milk,1154,228,0.301,n,
cheese goat semisoft type,cheese cream,"Cheese, goat, semisoft type",cream cheese,1157,906,0.328,n,
prepared sauce from cheese recipe,cheese cream,"Cheese sauce, prepared from recipe",cream cheese,1164,906,0.409,n,
cheese anejo mexican queso,cheese american,"Cheese, mexican, queso anejo",American Cheese,1165,762,0.417,n,
cheese asadero mexican queso,cheese american,"Cheese, mexican, queso asadero",American Cheese,1166,762,0.442,n,
cheese mexican queso chihuahua,cheese american,"Cheese, mexican, queso chihuahua",American Cheese,1167,762,0.347,n,
sodium cheddar cheese colby low,chedder sharp cheese,"Cheese, low-sodium, cheddar or colby",Sharp Chedder Cheese,1169,764,0.479,,
milk fat milkfat without d added 2 fluid reduced a vitamin,milk whole,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",Whole milk,1174,239,0.419,,
reduced fat cream sour,cream sour,"Sour cream, reduced fat",Sour cream,1178,787,0.705,,
light cream sour,cream sour,"Sour cream, light",Sour cream,1179,787,0.742,,
free fat cream sour,cream sour,"Sour cream, fat free",Sour cream,1180,787,0.825,n,
parmesan fat topping free cheese,cheese cream,"Parmesan cheese topping, fat free",cream cheese,1185,906,0.391,n,
cheese fat cream free,cheese cream,"Cheese, cream, fat free",cream cheese,1186,906,0.861,n,
free half fat cream,half,"Cream, half and half, fat free",half and half,1199,904,0.668,n,
substitute liquid flavored cream,cream sour,"Cream substitute, flavored, liquid",Sour cream,1205,787,0.278,n,
substitute flavored cream powdered,cocoa powder,"Cream substitute, flavored, powdered",Cocoa powder,1206,892,0.3,n,
cheese fat reduced provolone,cheese cream,"Cheese, provolone, reduced fat",cream cheese,1208,906,0.36,n,
fat blend mexican reduced cheese,cheese american,"Cheese, Mexican, blend, reduced fat",American Cheese,1209,762,0.455,n,
milk without milkfat d added a whole vitamin 325,milk whole,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Whole milk,1211,239,0.599,,
milk without d added dry whole vitamin,milk whole,"Milk, dry, whole, without added vitamin D",Whole milk,1212,239,0.566,n,
fat d fortified product pasteurized american process reduced cheese vitamin,cheese american,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",American Cheese,1215,762,0.454,,
milk based muscle powder supplement protein,powder protein,"Protein supplement, milk based, Muscle Milk, powder",Protein powder,1223,778,0.545,,
milk based muscle light powder supplement protein,powder protein,"Protein supplement, milk based, Muscle Milk Light, powder",Protein powder,1224,778,0.519,,
egg fat free substitute liquid frozen,frozen bean green whole,"Egg substitute, liquid or frozen, fat free",Frozen whole green beans,1226,596,0.371,n,
cheese fresh queso fresco,cheese cream,"Cheese, fresh, queso fresco",cream cheese,1228,906,0.422,n,
milk fluid buttermilk whole,milk whole,"Milk, buttermilk, fluid, whole",Whole milk,1230,239,0.682,n,
nonfat milk calorie flavor yogurt chocolate sweetener frozen low,chocolate milk lowfat,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",Lowfat chocolate milk,1235,238,0.52,n,
made milk lowfat dessert from frozen bar,chocolate milk lowfat,"Milk dessert bar, frozen, made from lowfat milk",Lowfat chocolate milk,1244,238,0.429,n,
cheese mexican blend,cheese american,"Cheese, Mexican blend",American Cheese,1251,762,0.512,n,
d fortified product pasteurized american process cheese vitamin,cheese american,"Cheese product, pasteurized process, American, vitamin D fortified",American Cheese,1252,762,0.486,,
without d added pasteurized american process cheese vitamin,cheese american,"Cheese, pasteurized process, American, without added vitamin D",American Cheese,1253,762,0.542,,
nonfat program plain yogurt food for usda greek includes,yogurt,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",Yogurt,1256,788,0.427,n,
spread fat base cheddar american reduced cheese,cheese american,"Cheese spread, American or Cheddar cheese base, reduced fat",American Cheese,1259,762,0.641,,
cheese fat cheddar reduced,chedder sharp cheese,"Cheese, cheddar, reduced fat",Sharp Chedder Cheese,1260,764,0.58,,
nonfat fat free cheddar cheese,chedder sharp cheese,"Cheese, cheddar, nonfat or fat free",Sharp Chedder Cheese,1265,764,0.526,n,
nonfat fat free cheese swiss,cheese cream,"Cheese, Swiss, nonfat or fat free",cream cheese,1266,906,0.39,n,
cheese cotija mexican queso,cheese american,"Cheese, mexican, queso cotija",American Cheese,1267,762,0.405,n,
strawberry greek lowfat yogurt,strawberry whole,"Yogurt, Greek, strawberry, lowfat",Whole strawberry,1284,83,0.599,n,
strawberry greek nonfat yogurt,strawberry whole,"Yogurt, Greek, strawberry, nonfat",Whole strawberry,1285,83,0.588,n,
nonfat greek vanilla yogurt,yogurt,"Yogurt, Greek, vanilla, nonfat",Yogurt,1286,788,0.535,n,
greek lowfat plain yogurt,yogurt,"Yogurt, Greek, plain, lowfat",Yogurt,1287,788,0.589,,
lifeway kefir plain lowfat,chocolate milk lowfat,"Kefir, lowfat, plain, LIFEWAY",Lowfat chocolate milk,1289,238,0.327,n,
strawberry kefir lifeway lowfat,strawberry whole,"Kefir, lowfat, strawberry, LIFEWAY",Whole strawberry,1290,83,0.527,n,
milk fat d free added a chocolate vitamin,chocolate milk lowfat,"Milk, chocolate, fat free, with added vitamin A and vitamin D",Lowfat chocolate milk,1292,238,0.628,,
milk plain yogurt whole greek,yogurt,"Yogurt, Greek, plain, whole milk",Yogurt,1293,788,0.585,,
